Entity,Frequency
chronic lymphocytic leukemia,2904
cll,2245
ibrutinib,900
fda,879
today,877
acalabrutinib,806
new article,688
covid-19,634
venetoclax,634
luciacalabru calquence- acalabrutinib,523
cancer,483
cll leusm hematology,416
first,391
leukemia,384
lymphocyte cll,373
primarily cancer adult,373
calquence,368
patient,302
ash20,287
astrazeneca,259
leusm,255
people,240
17p,232
target,221
small lymphocytic lymphoma,214
bloodcancer,213
second,199
green light,194
new trial,182
ash15,168
video,161
new cll research study,153
annual,153
available placebo,151
american,147
cll patient,147
obinutuzumab,146
year,146
treatment,145
you,139
cll treatment,138
refractory chronic lymphocytic leukemia,134
phase,131
ash19,131
study,128
lymsm,126
0,126
jeff,125
tomorrow,123
pickuplisten,120
sun paralysis cancer cll,120
astrazenecas calquence,117
area,114
dr,113
chronic lymphocytic leukemia leusm,113
cll patientpower,110
cll leusm,109
patient chronic lymphocytic leukemia,108
chronic lymphocytic leukemia patient,107
patientpower,106
clinical trial,105
trial,104
1l,103
prior therapy,102
I,102
potential new use,102
chronic lymphocytic leukaemia,102
1st,100
new drug chronic lymphocytic leukemia patient specific chromosomal abnormality,99
idelalisib,99
role,99
research,97
cllsm,93
what,93
lymphoma,92
area placebo,92
cancer drug,91
expert dr  sharman,90
new solution,90
-,87
month,86
- cell,85
cll pt,85
imbruvica,84
expert,84
mantle cell lymphoma,83
morning,82
help,82
mutation chronic lymphocytic leukemia,81
high - risk cll,81
week,79
chemoimmunotherapy,78
torneoclausura,77
duvelisib,76
european,76
previously untreated chronic lymphocytic leukemia,76
abbvie,76
eric,74
we,74
powerfulin2016,73
richard furman,72
tonight,72
daily,71
combination,71
high - risk cll new trial,69
cll14,69
cell,68
bendamustine,68
ad,67
september,67
outcome,66
tgr-1202,66
anthonymatomd,65
h2,65
chronic lymphocytic leukemia cll,65
imbruvica ibrutinib,65
jennifer,63
2x day,63
iwcll2019,63
option,61
new clinicaltrial,61
usfda,61
genentech,61
leucemia,60
new datum,60
doctor,60
time,60
covid19,59
disease,59
cllsm leusm,59
chronic lymphocytic leukemia cllhypogammaglobulinemia,58
life,58
cello health plc,57
new use,57
researcher,57
cll sll,57
susan leclair,56
medicine chronic lymphocytic leukemia,56
h1,56
saturday,55
december,55
relapse,55
lymsm lymphoma,53
india,53
iwcll2017,53
oncoalert,53
oncology,53
vjhemonc,53
chronic lymphocytic leukemia treatment,53
cll cllsm,52
b,52
3,52
rt new cll clinicaltrial,52
cll medication,51
effect,51
advance,51
mdandersonnews,51
chronic lymphocytic leukemia mutation,51
cell receptor,50
important new clinicaltrial available relapse cll placebo,49
cll cll,49
awareness,49
april,49
calquence acalabrutinib,49
mm,49
new kind cancer drug effective chronic lymphocytic leukemia,49
love,49
chronic lymphocytic leukemia cell,48
et,48
astrazenecas calquence acalabrutinib,48
pfs,48
importance,48
case,48
therapy,47
japan,47
pt,47
cll treatment landscape evolution,47
 interview dr furman weillcornell,47
cll leukemia,47
head,47
ash17,47
ublituximab,46
datum,46
placebo,46
2nd,46
1,46
calquence treatment mantle cell lymphoma mcl adult patient,46
chronic lymphocytic leukemia medivizor leukemia,46
phase trial,46
knowledgeisbestrx,45
patient cll,45
friday,45
tgtx,45
1b,44
sll,44
adult,44
person,44
cll expert,44
tg,44
chronic lymphocytic leukemia leukemia,44
cllsociety,43
efficacy,43
5 - year,43
chronic lymphocytic leukemiasmall lymphocytic lymphoma,43
next - generation treatment relapse,43
power4patient,42
leusm cllsm,42
yesterday,42
chemo experience resource lymphoma,42
mcl,42
result,42
risk,42
fcr,41
co,41
zanubrutinib,41
treatment chronic lymphocytic leukemia,41
unidasporelobjetivo,40
pcnsm,40
blood cancer,40
question,40
pattern,39
ashhematology,39
exclusive astrazenecas calquence,39
ep12,39
ofatumumab,39
phd,39
work,39
june,39
relapsedrefractory cll,39
2,39
chronic lymphocytic leukemia growth,39
support,39
new clinicaltrial placebo,38
story,38
new clinical trial,38
iwcll,38
target therapy,38
look option cll,38
loxo-305,37
leukaemia,37
hematology,37
cyclophosphamide,37
one,37
venclexta,37
leukemia leusm,36
abbv,36
andrewschorr,36
